evNum   picoTimeMs	adcAtEvent	rateOverall
1	554     97	1.81
2   1305    70  1.53
253	211035	32	1.20
254	211175	134	1.20
255	211389	31	1.21
256	211817	41	1.21
257	212789	301	1.21
258	212807	37	1.21
259	213278	30	1.21
260	213815	71	1.22
261	215270	58	1.21
262	215488	37	1.22
263	215861	97	1.22
264	216209	31	1.22
265	216649	35	1.22
266	217138	92	1.23
267	217294	54	1.23
268	217471	32	1.23
269	217620	119	1.24
270	218653	31	1.23
271	219365	53	1.24
272	219841	39	1.24
273	220428	37	1.24
274	221027	42	1.24
275	221153	39	1.24
276	221877	32	1.24
277	222577	187	1.24
278	222907	31	1.25
279	225875	55	1.24
280	225917	41	1.24
281	227535	50	1.23
282	228940	38	1.23
283	229449	38	1.23
284	231650	44	1.23
285	234242	61	1.22
286	234841	49	1.22
287	235333	32	1.22
288	235380	49	1.22
289	235582	34	1.23
290	236014	70	1.23
291	236797	88	1.23
292	240509	64	1.21
293	240810	36	1.22
294	241410	45	1.22
295	241507	35	1.22
296	243808	47	1.21
297	244715	30	1.21
298	245055	76	1.22
299	245712	39	1.22
300	246382	51	1.22
301	247083	39	1.22
302	247553	32	1.22
303	247923	33	1.22
304	250001	36	1.22
305	250455	30	1.22
306	251926	42	1.21
307	252493	140	1.22
308	253963	64	1.21
309	255223	38	1.21
310	256152	44	1.21
311	257319	46	1.21
312	257498	35	1.21
313	257550	31	1.22
314	257953	45	1.22
315	260807	60	1.21
316	260867	70	1.21
317	261474	38	1.21
318	262677	224	1.21
319	262997	59	1.21
320	264869	32	1.21
321	266647	30	1.20
322	267146	30	1.21
323	267899	41	1.21
324	268204	147	1.21
325	268650	132	1.21
326	269858	37	1.21
327	272790	34	1.20
328	273452	96	1.20
329	273497	40	1.20
330	274280	37	1.20
331	274878	38	1.20
332	276727	47	1.20
333	277345	45	1.20
334	277881	42	1.20
335	278436	40	1.20
336	278827	46	1.21
337	278932	38	1.21
338	279073	46	1.21
339	279958	43	1.21
340	280601	53	1.21
341	280635	42	1.22
342	280729	48	1.22
343	280767	39	1.22
344	280968	35	1.22
345	281971	177	1.22
346	283155	145	1.22
347	285039	41	1.22
348	285521	32	1.22
349	286026	30	1.22
350	286368	227	1.22
351	286448	67	1.23
352	287531	79	1.22
353	287555	31	1.23
354	287776	35	1.23
