evNum	picoTimeMs	adcAtEvent	rateOverall 
259	228830	34	1.13
260	229027	96	1.14
261	230945	30	1.13
262	231482	48	1.13
263	231884	40	1.13
264	232399	102	1.14
265	234599	69	1.13
266	235368	44	1.13
267	235444	70	1.13
268	237293	34	1.13
269	237335	99	1.13
270	237608	78	1.14
271	237973	35	1.14
272	238268	162	1.14
273	238363	32	1.15
274	238447	191	1.15
275	238611	191	1.15
276	238733	37	1.16
277	239565	66	1.16
278	239664	30	1.16
279	240878	44	1.16
280	243059	49	1.15
281	243511	81	1.15
282	243954	45	1.16
283	244371	93	1.16
284	245216	37	1.16
285	247109	43	1.15
286	249558	31	1.15
287	250601	38	1.15
288	250639	84	1.15
289	251221	43	1.15
290	251830	79	1.15
291	252271	34	1.15
292	253147	34	1.15
293	254685	115	1.15
294	255523	38	1.15
295	256275	31	1.15
296	257955	90	1.15
297	259078	37	1.15
298	259403	48	1.15
299	259695	60	1.15
300	259973	64	1.15
301	261633	65	1.15
302	262125	93	1.15
303	264294	42	1.15
304	264782	34	1.15
305	265450	83	1.15
306	266042	42	1.15
307	266913	34	1.15
308	267368	37	1.15
309	267394	81	1.16
310	267508	48	1.16
311	267550	159	1.16
312	267597	30	1.17
313	269979	36	1.16
314	271929	48	1.15
315	273796	85	1.15
316	275807	35	1.15
317	276110	75	1.15
318	277242	55	1.15
319	278584	50	1.15
320	279700	37	1.14
321	280781	101	1.14
322	280885	140	1.15
323	280926	41	1.15
324	281396	57	1.15
325	282745	38	1.15
326	284385	81	1.15
327	284487	167	1.15
328	285904	60	1.15
329	286049	65	1.15
330	288196	49	1.15
331	289188	36	1.14
332	290091	76	1.14
333	290442	53	1.15
334	290547	190	1.15
335	292161	37	1.15
336	294771	50	1.14
337	295055	30	1.14
338	295129	35	1.15
339	295187	33	1.15
340	295894	46	1.15
341	296123	42	1.15
342	297994	110	1.15
343	299064	36	1.15
344	300553	41	1.14
345	300823	53	1.15
346	301166	38	1.15
347	301514	34	1.15
348	303514	60	1.15
349	304634	300	1.15
350	305369	61	1.15
351	305793	37	1.15
352	305849	37	1.15
353	306352	51	1.15
354	307094	55	1.15
355	308433	32	1.15
356	309591	36	1.15
357	309683	35	1.15
358	310404	33	1.15
359	311721	72	1.15
360	313488	53	1.15
361	314592	32	1.15
362	314641	50	1.15
363	315852	81	1.15
364	315892	31	1.15
365	317348	53	1.15
366	317976	32	1.15
367	318307	46	1.15
368	320279	119	1.15
369	321019	51	1.15
370	322791	37	1.15
371	322864	30	1.15
372	323621	33	1.15
373	323757	33	1.15
374	323887	62	1.15
375	324548	54	1.16
376	325257	35	1.16
377	325687	33	1.16
378	327391	43	1.15
379	329962	154	1.15
380	330316	35	1.15
381	330883	94	1.15
382	331818	57	1.15
383	332774	39	1.15
384	333028	33	1.15
385	333340	35	1.15
386	333965	259	1.16
387	335153	38	1.15
388	335605	44	1.16
389	337580	48	1.15
390	337608	52	1.16
391	338313	47	1.16
392	338587	50	1.16
393	338731	68	1.16
394	339371	74	1.16
395	339623	39	1.16
396	340630	50	1.16
397	340670	88	1.17
398	341211	109	1.17
399	342509	55	1.16
400	345009	83	1.16
401	345503	54	1.16
402	345850	47	1.16
403	346308	62	1.16
404	346547	36	1.17
405	346647	93	1.17
406	347352	39	1.17
407	348456	37	1.17
408	349148	44	1.17
409	349233	39	1.17
410	349831	36	1.17
411	351087	31	1.17
412	351166	30	1.17
413	353433	66	1.17
414	356386	104	1.16
415	357436	52	1.16
416	359803	58	1.16
417	360418	46	1.16
418	362180	48	1.15
419	362414	87	1.16
420	363527	50	1.16
421	368091	143	1.14
422	368619	38	1.14
423	370123	39	1.14
424	370351	77	1.14
425	371190	33	1.14
426	372338	34	1.14
427	373635	47	1.14
428	374171	34	1.14
429	375643	44	1.14
430	376826	53	1.14
431	377295	30	1.14
432	377786	35	1.14
433	378852	49	1.14
434	379143	32	1.14
435	379474	31	1.15
436	380085	34	1.15
437	380961	37	1.15
438	381084	38	1.15
439	384525	55	1.14
440	384577	36	1.14
441	385769	36	1.14
442	385851	109	1.15
443	386791	33	1.15
444	386899	45	1.15
445	387982	132	1.15
446	388447	35	1.15
447	388683	77	1.15
448	388792	32	1.15
449	388861	30	1.15
450	389574	39	1.16
451	390967	33	1.15
452	391880	55	1.15
453	392579	72	1.15
454	395656	69	1.15
455	395676	66	1.15
456	397849	44	1.15
457	398951	34	1.15
458	399896	59	1.15
459	400238	76	1.15
460	400730	47	1.15
461	402234	31	1.15
462	402385	37	1.15
463	403546	32	1.15
464	405195	35	1.15
465	405661	34	1.15
466	407065	133	1.14
467	407811	33	1.15
468	411936	74	1.14
469	412330	80	1.14
470	414962	40	1.13
471	415897	65	1.13
472	416206	37	1.13
473	416422	127	1.14
474	416436	107	1.14
475	416570	32	1.14
476	416713	30	1.14
477	418809	33	1.14
478	419055	46	1.14
479	420701	62	1.14
480	421765	119	1.14
481	424690	91	1.13
482	424742	41	1.13
483	426803	39	1.13
484	427733	88	1.13
485	428238	126	1.13
486	428851	37	1.13
487	430946	33	1.13
488	431762	42	1.13
489	433557	31	1.13
490	434019	42	1.13
491	434583	44	1.13
492	436172	30	1.13
493	436493	168	1.13
494	438560	30	1.13
495	438883	40	1.13
496	440003	41	1.13
497	442258	84	1.12
498	443252	78	1.12
499	444789	46	1.12
500	445423	52	1.12
501	446006	30	1.12
502	446790	32	1.12
503	446998	32	1.13
504	448500	34	1.12
505	449157	43	1.12
506	449563	32	1.13
507	449764	79	1.13
508	450503	32	1.13
509	451375	109	1.13
510	452866	44	1.13
511	456930	37	1.12
512	457868	56	1.12
513	458072	37	1.12
514	458208	75	1.12
515	458745	116	1.12
516	459332	81	1.12
517	459830	51	1.12
518	461311	43	1.12
519	462107	44	1.12
520	462471	87	1.12
521	464073	44	1.12
522	464107	58	1.12
