evNum	picoTimeMs	adcAtEvent	rateOverall
289	141969	30	2.04
290	142007	30	2.04
291	143096	40	2.03
292	144317	54	2.02
293	144718	41	2.02
294	146448	26	2.01
295	146463	59	2.01
296	146563	37	2.02
297	147051	80	2.02
298	147149	29	2.03
299	147266	167	2.03
300	147887	32	2.03
301	147988	35	2.03
302	148053	61	2.04
303	148854	80	2.04
304	149398	38	2.03
305	149926	47	2.03
306	150052	30	2.04
307	151688	64	2.02
308	151806	26	2.03
309	152090	88	2.03
310	152696	41	2.03
311	152714	21	2.04
312	153246	87	2.04
313	154650	30	2.02
314	155781	27	2.02
315	155940	28	2.02
316	156625	25	2.02
317	156844	20	2.02
318	157187	373	2.02
319	157225	25	2.03
320	157301	50	2.03
321	157344	31	2.04
322	157484	35	2.04
323	158414	39	2.04
324	158587	23	2.04
325	158733	22	2.05
326	159304	45	2.05
327	159332	27	2.05
328	159475	23	2.06
329	160469	23	2.05
330	161044	20	2.05
331	161229	31	2.05
332	161770	32	2.05
333	162687	56	2.05
334	163116	51	2.05
335	163465	23	2.05
336	163483	22	2.06
337	163782	21	2.06
338	163828	82	2.06
339	165900	23	2.04
340	166464	38	2.04
341	166899	47	2.04
342	167361	131	2.04
343	167764	62	2.04
344	168290	25	2.04
345	168713	23	2.04
346	169417	57	2.04
347	169545	20	2.05
348	169569	29	2.05
349	170250	40	2.05
350	170276	23	2.06
351	170883	25	2.05
352	172178	28	2.04
353	172442	174	2.05
354	173097	103	2.05
355	173277	36	2.05
356	173395	33	2.05
357	173907	33	2.05
358	174218	25	2.05
359	174283	142	2.06
360	174394	21	2.06
361	175118	23	2.06
362	175554	23	2.06
363	176073	31	2.06
364	176347	160	2.06
365	176407	25	2.07
366	176618	22	2.07
367	177132	57	2.07
368	179373	54	2.05
369	180325	31	2.05
370	180559	170	2.05
371	180661	24	2.05
372	181444	77	2.05
373	182428	21	2.04
374	182605	29	2.05
375	182839	35	2.05
376	183309	59	2.05
377	184109	41	2.05
378	185206	37	2.04
379	185332	25	2.04
380	185549	25	2.05
381	185801	54	2.05
382	185923	42	2.05
383	186076	43	2.06
384	186625	22	2.06
385	186756	43	2.06
386	187163	39	2.06
387	187297	28	2.07
388	187747	140	2.07
389	188229	36	2.07
390	189661	79	2.06
391	190473	48	2.05
392	190638	20	2.06
393	191602	48	2.05
394	191889	23	2.05
395	192539	69	2.05
396	193201	21	2.05
397	194208	108	2.04
398	195839	27	2.03
399	195885	58	2.04
400	197059	25	2.03
401	197561	36	2.03
402	198182	30	2.03
403	198254	65	2.03
404	198554	81	2.03
405	198902	67	2.04
406	199065	39	2.04
407	199295	25	2.04
408	199558	20	2.04
409	200454	25	2.04
410	200804	21	2.04
411	200970	34	2.05
412	201163	20	2.05
413	201201	33	2.05
414	201503	21	2.05
415	201698	42	2.06
416	202561	137	2.05
417	202860	21	2.06
418	202876	37	2.06
419	203513	53	2.06
420	203964	23	2.06
421	204353	27	2.06
422	204381	49	2.06
423	205538	25	2.06
424	205895	44	2.06
425	206177	152	2.06
426	206252	21	2.07
427	206703	24	2.07
428	207704	44	2.06
429	207744	30	2.07
430	208025	51	2.07
431	208356	36	2.07
432	208651	99	2.07
433	208965	32	2.07
434	209008	37	2.08
435	209676	25	2.07
436	209941	27	2.08
437	210256	30	2.08
438	211059	72	2.08
439	211396	55	2.08
440	212369	20	2.07
441	212520	22	2.08
442	213041	37	2.07
443	213877	32	2.07
444	214463	36	2.07
445	214945	28	2.07
446	216035	73	2.06
447	216228	29	2.07
448	216430	21	2.07
449	217416	28	2.07
450	217668	22	2.07
451	217911	22	2.07
452	219661	115	2.06
453	219783	36	2.06
454	220019	27	2.06
455	220555	63	2.06
456	221363	41	2.06
457	221925	80	2.06
458	222073	30	2.06
459	222133	149	2.07
460	223107	43	2.06
461	223229	94	2.07
462	223430	90	2.07
463	224083	37	2.07
464	224149	40	2.07
465	224319	34	2.07
466	224437	40	2.08
467	224464	58	2.08
468	224792	20	2.08
469	224886	37	2.09
470	225284	27	2.09
471	225743	31	2.09
472	227198	30	2.08
473	227884	32	2.08
474	228116	28	2.08
475	228601	26	2.08
476	229858	88	2.07
477	230048	51	2.07
478	230064	62	2.08
479	230201	21	2.08
480	230312	39	2.08
481	231137	47	2.08
482	232449	35	2.07
483	232608	29	2.08
484	233223	44	2.08
485	234118	25	2.07
486	235035	21	2.07
487	235257	43	2.07
488	236439	23	2.06
489	236713	105	2.07
490	237998	48	2.06
491	239180	47	2.05
492	240337	38	2.05
493	240826	70	2.05
494	241733	25	2.04
495	242781	21	2.04
496	244088	26	2.03
497	244152	40	2.04
498	244544	42	2.04
