evNum	picoTimeMs	adcAtEvent	rateOverall
289	142131	30	2.03
290	143351	38	2.02
291	144823	23	2.01
292	144975	29	2.01
293	145798	20	2.01
294	146305	30	2.01
295	147100	42	2.01
296	148957	82	1.99
297	149054	37	1.99
298	149588	20	1.99
299	149975	50	1.99
300	150577	33	1.99
301	151543	171	1.99
302	152145	30	1.98
303	152432	27	1.99
304	152608	35	1.99
305	154795	21	1.97
306	155587	22	1.97
307	158071	62	1.94
308	158802	34	1.94
309	159401	23	1.94
310	160923	20	1.93
311	161262	26	1.93
312	161282	48	1.93
313	161658	58	1.94
314	161878	35	1.94
315	161963	29	1.94
316	162179	203	1.95
317	162290	39	1.95
318	162840	51	1.95
319	163970	172	1.95
320	164062	22	1.95
321	164599	28	1.95
322	164911	29	1.95
323	165092	22	1.96
324	165560	26	1.96
325	165810	21	1.96
326	166350	109	1.96
327	166375	36	1.97
328	166553	36	1.97
329	166803	61	1.97
330	168144	31	1.96
331	168811	22	1.96
332	168829	82	1.97
333	169518	27	1.96
334	169579	45	1.97
335	170061	20	1.97
336	170868	22	1.97
337	171028	68	1.97
338	171325	56	1.97
339	171352	29	1.98
340	171598	99	1.98
341	173534	45	1.97
342	174062	58	1.96
343	174106	20	1.97
344	175240	79	1.96
345	175694	29	1.96
346	175841	159	1.97
347	175989	21	1.97
348	176428	27	1.97
349	177833	24	1.96
350	178251	25	1.96
351	178451	40	1.97
352	178765	26	1.97
353	179164	29	1.97
354	179700	44	1.97
355	180636	22	1.97
356	181299	86	1.96
357	181620	27	1.97
358	181763	27	1.97
359	182829	25	1.96
360	183816	35	1.96
361	184146	27	1.96
362	184746	175	1.96
363	186077	51	1.95
364	189232	46	1.92
365	190040	83	1.92
366	190527	29	1.92
367	191403	31	1.92
368	191530	24	1.92
369	192022	101	1.92
370	192046	48	1.93
371	192191	33	1.93
372	192275	31	1.93
373	192359	24	1.94
374	193482	41	1.93
375	193566	40	1.94
376	196262	30	1.92
377	196373	27	1.92
378	196658	26	1.92
379	196884	61	1.92
380	198125	39	1.92
381	198282	41	1.92
382	199106	24	1.92
383	199133	44	1.92
384	199701	27	1.92
385	199903	178	1.93
386	200100	25	1.93
387	200303	32	1.93
388	200939	40	1.93
389	202044	26	1.93
390	203566	21	1.92
391	204261	56	1.91
392	204590	40	1.92
393	205175	27	1.92
394	205256	57	1.92
395	205393	24	1.92
396	205474	22	1.93
397	206304	27	1.92
398	206901	62	1.92
399	207217	37	1.93
400	209475	102	1.91
401	209620	106	1.91
402	210393	27	1.91
403	210506	32	1.91
404	210521	37	1.92
405	210743	30	1.92
406	211271	21	1.92
407	211659	34	1.92
408	212133	30	1.92
409	215221	60	1.90
410	215516	98	1.90
411	215555	48	1.91
412	215674	26	1.91
413	216173	22	1.91
414	216272	30	1.91
415	216986	25	1.91
416	218189	36	1.91
417	219768	37	1.90
418	220608	31	1.89
419	221674	50	1.89
420	221805	27	1.89
421	222065	23	1.90
422	222280	31	1.90
423	222393	60	1.90
424	223024	68	1.90
425	223419	30	1.90
426	223650	41	1.90
427	223754	38	1.91
428	225323	25	1.90
429	225359	38	1.90
430	226982	166	1.89
431	227703	25	1.89
432	227745	22	1.90
433	227824	21	1.90
434	228211	70	1.90
435	228299	67	1.91
436	228481	23	1.91
437	228684	40	1.91
438	228737	31	1.91
439	228963	25	1.92
440	229777	27	1.91
441	229833	37	1.92
442	229870	169	1.92
443	229905	36	1.93
444	230348	51	1.93
445	230506	23	1.93
446	231132	173	1.93
447	231188	26	1.93
448	231887	118	1.93
449	232370	22	1.93
450	233385	39	1.93
451	234590	41	1.92
452	235588	20	1.92
453	235738	26	1.92
454	236858	30	1.92
455	238132	93	1.91
456	238785	37	1.91
457	238970	61	1.91
458	241129	83	1.90
459	241264	23	1.90
460	241888	48	1.90
461	242060	24	1.90
462	242167	22	1.91
463	242595	48	1.91
464	243118	31	1.91
465	243733	33	1.91
466	244199	32	1.91
467	244414	43	1.91
468	245201	51	1.91
469	246548	37	1.90
470	247278	27	1.90
471	247557	43	1.90
472	248388	80	1.90
473	248466	23	1.90
474	249088	91	1.90
475	249356	71	1.90
476	250178	40	1.90
477	250607	24	1.90
478	250774	25	1.91
479	251216	46	1.91
480	251717	22	1.91
481	251766	24	1.91
482	252620	24	1.91
483	253111	30	1.91
484	253870	23	1.91
485	254090	26	1.91
486	254233	25	1.91
487	254456	20	1.91
488	254816	37	1.92
489	255781	20	1.91
490	256611	23	1.91
491	257055	23	1.91
492	257366	26	1.91
493	257548	31	1.91
494	257716	20	1.92
495	258112	45	1.92
496	259458	24	1.91
497	259591	38	1.91
498	260104	122	1.91
499	261365	64	1.91
500	262080	33	1.91
501	262399	28	1.91
502	262463	60	1.91
503	262837	84	1.91
504	262881	24	1.92
505	263393	114	1.92
506	263790	107	1.92
507	264273	73	1.92
508	264515	34	1.92
509	264550	25	1.92
510	265594	63	1.92
511	265809	118	1.92
512	267953	21	1.91
513	268217	33	1.91
514	268656	27	1.91
515	269308	25	1.91
516	269768	33	1.91
517	269891	69	1.92
518	270130	74	1.92
519	270881	178	1.92
520	270963	22	1.92
521	272170	20	1.91
522	272723	69	1.91
523	274072	27	1.91
524	275071	84	1.90
525	275485	36	1.91
526	276629	41	1.90
527	276815	224	1.90
528	277073	21	1.91
529	277541	26	1.91
530	277600	22	1.91
531	277648	42	1.91
532	277790	108	1.92
533	278127	45	1.92
534	278203	30	1.92
535	278486	82	1.92
536	278709	22	1.92
537	279242	33	1.92
538	279775	50	1.92
539	280203	39	1.92
540	281145	81	1.92
541	281421	82	1.92
542	281467	25	1.93
543	281618	62	1.93
544	282161	110	1.93
545	282242	167	1.93
546	283193	26	1.93
547	283645	35	1.93
548	283962	29	1.93
549	284061	50	1.93
550	284454	73	1.93
551	284476	91	1.94
552	284696	134	1.94
553	285518	29	1.94
554	286457	27	1.93
555	287610	46	1.93
556	288307	94	1.93
557	289058	144	1.93
558	289554	20	1.93
559	290371	59	1.93
560	290534	33	1.93
561	290585	304	1.93
562	291877	27	1.93
563	293002	29	1.92
564	293324	43	1.92
565	295106	64	1.91
566	295136	162	1.92
567	295541	27	1.92
568	296404	109	1.92
569	297244	30	1.91
570	297422	26	1.92
571	298348	56	1.91
572	299553	33	1.91
